ticker,entry,notional,n_ins,csuite,ex20,ex60
CNC,2023-03-17,1878000.0,1,1,0.03690951185306801,-0.00903824031725664
CNC,2024-11-08,250313.59999999998,1,1,-0.03844706816241161,-0.02442938664361216
CNC,2024-11-13,1000008.0,1,1,-0.01264517378073493,-0.0377266202919625
CNC,2024-12-17,1003473.9299999999,4,0,0.08790726138588223,0.10360607695454904
CNC,2024-12-19,1015750.0,1,0,0.029271908005796377,0.03365736245918849
CNC,2025-07-29,248580.0,1,0,0.1070166914703008,0.35966602877788856
CNC,2025-08-11,490365.0,1,1,0.2074389268716781,0.3682673329604942
COIN,2022-05-17,50000176.2571,1,0,-0.14282624272279443,0.2467209471562919
COIN,2022-05-19,25013664.685599998,1,0,-0.17968805829513967,0.237377539823717
COIN,2022-05-26,1819830.012,1,0,-0.15783163844179193,0.0013796845445481765
COIN,2022-08-15,382153.19999999995,1,0,-0.09841455765477014,-0.33805335091623645
COIN,2022-08-18,364282.64999999997,1,0,-0.014526641147612152,-0.24294645458444575
COIN,2022-08-25,372433.38,1,0,-0.010063740336490268,-0.3098699284823533
COIN,2022-09-01,378957.15,1,0,0.08311533039873653,-0.35000297142871395
COIN,2022-09-09,365428.0,1,0,-0.06376265892482225,-0.4139453226048667
COIN,2022-09-15,337897.98,1,0,-0.04129420949690954,-0.4870590255472277
COIN,2022-09-22,360793.29,1,0,0.03386959715738458,-0.44267743891724376
COIN,2022-09-29,387887.89,1,0,0.12262044550279416,-0.4824852353539658
COIN,2022-10-06,387594.9,1,0,-0.2391595692336339,-0.5658110520268632
COIN,2022-10-13,373139.59,1,0,-0.34327568480446236,-0.44307615414605783
COIN,2022-10-20,389942.10000000003,1,0,-0.31163867359457786,-0.2817823255309374
COIN,2022-10-27,373168.07999999996,1,0,-0.44780743218944363,-0.3255826948195576
COIN,2022-11-03,385309.14999999997,1,0,-0.24246181521930976,0.07017157176008637
COIN,2022-11-10,353977.5,1,0,-0.20616834590739586,0.3232709784048602
COIN,2022-11-17,382360.0,1,0,-0.2220205900403398,0.3711218446635862
COIN,2022-11-23,380048.9,1,0,-0.18702423085559483,0.35219159110423404
COIN,2022-12-08,742513.5899999999,1,0,-0.08490118961263204,0.4650887933116492
COIN,2022-12-15,399857.39999999997,1,0,0.40459548335084183,0.6983706419899561
COIN,2022-12-22,365570.0,1,0,0.4971136382785868,1.200207314015756
COIN,2022-12-29,369196.56,1,0,0.5699944193342144,0.7808230255282915
COIN,2023-01-06,381235.43999999994,1,0,1.186588649016705,0.8272806699166118
COIN,2023-01-12,365063.68,1,0,0.17271878262174245,0.4439860924095682
COIN,2023-01-20,370471.14,1,0,0.153269868917435,0.17305994674809733
COIN,2023-01-26,359560.56,1,0,0.12290500700261342,0.013160388623496555
COIN,2023-02-02,380127.60000000003,1,0,-0.17786980060745838,-0.3814360107603396
COIN,2023-02-09,361832.0,1,0,-0.05177900153454362,-0.03953722054217701
COIN,2023-05-11,50035002.4402,1,0,-0.16026742151143147,0.36996807118256525
COST,2019-04-02,727935.0,1,0,-0.015889498026085747,0.08494505151776899
COST,2021-12-22,499619.50999999995,1,0,-0.060294761895011706,0.060480266786162584
COST,2022-06-08,400124.75,1,0,0.12652639301894564,0.15538844591041423
CRM,2024-06-05,99796760.0,1,0,0.07536283388970033,0.014951213360647309
CRM,2024-06-24,499806.13899999997,1,0,0.04684223100339091,0.017673577046041
CRM,2025-03-03,499355.47500000003,1,0,-0.042520058854321974,-0.06489446053661907
CRM,2025-04-04,998772.9942,1,0,0.017129453558559105,-0.10976555755307715
CRM,2025-09-10,865827.0,1,0,-0.040867089170754545,-0.029180807200017922
CRM,2025-12-08,25015680.0,1,0,0.016688516404627096,-0.20478982851226835
CRM,2025-12-18,500722.19999999995,1,0,-0.14816016515533503,-0.22407292904437104
