ticker,etf
RRC,XLE
RRR,XLY
RRX,XLI
RS,XLI
RSG,XLU
RSI,XLY
RTO,XLI
RTX,XLI
RUN,XLK
RUSHA,XLY
RVMD,XLV
RVTY,XLK
RXO,XLI
RY,XLF
RYAAY,XLI
RYAN,XLF
RYN,XLRE
RYTM,XLV
S,XLK
SAIA,XLI
SAIC,XLK
SAIL,XLK
SAM,XLP
SAN,XLF
SANM,XLK
SAP,XLK
SARO,XLI
SBAC,XLRE
SBCF,XLF
SBET,XLF
SBLK,XLI
SBRA,XLRE
SBS,XLU
SBSW,XLB
SBUX,XLY
SCCO,XLB
SCHW,XLF
SDOT,XLY
SDRL,XLE
SEB,XLI
SEDG,XLK
SEI,XLI
SEIC,XLF
SEZL,XLI
SF,XLF
SFD,XLP
SFM,XLP
SFNC,XLF
SG,XLY
SGHC,XLY
SGI,XLI
SGRY,XLV
SHAK,XLY
SHC,XLV
SHEL,XLE
SHLS,XLK
SHO,XLY
SHOO,XLB
SHOP,XLK
SHW,XLY
SIG,XLY
SIGI,XLF
SIMO,XLK
SIRI,XLC
SITE,XLI
SITM,XLK
SJM,XLP
SKM,XLC
SKT,XLRE
SKWD,XLF
SKY,XLI
SKYW,XLI
SLAB,XLK
SLB,XLE
SLF,XLF
SLG,XLRE
SLGN,XLI
SLM,XLF
SLS,XLV
SLV,XLF
SM,XLE
SMCI,XLK
SMFG,XLF
SMG,XLB
SMMT,XLV
SMPL,XLP
SMR,XLI
SMTC,XLK
SN,XLY
SNA,XLI
SNAP,XLK
SNDK,XLK
SNDR,XLI
SNDX,XLV
SNEX,XLF
SNN,XLV
SNOW,XLK
SNPS,XLK
SNX,XLI
SNY,XLV
SO,XLU
SOBO,XLE
SOFI,XLF
SOLS,XLB
SOLV,XLV
SON,XLB
SONO,XLY
SONY,XLY
SOUN,XLK
SPB,XLK
SPCX,XLK
SPG,XLRE
SPGI,XLI
SPHR,XLY
SPOT,XLC
SPSC,XLK
SPXC,XLI
SQM,XLB
SR,XLU
SRAD,XLK
SRE,XLU
SRPT,XLV
SRRK,XLV
SSB,XLF
SSD,XLI
SSNC,XLK
SSRM,XLF
ST,XLK
STAG,XLRE
STE,XLV
STEP,XLF
STLA,XLY
STLD,XLB
STM,XLK
STN,XLI
STNE,XLK
STNG,XLI
STOK,XLV
STRC,XLF
STRL,XLI
STT,XLF
STWD,XLRE
STX,XLK
STZ,XLP
SU,XLE
SUI,XLRE
SUN,XLE
SUNC,XLE
SUPN,XLV
SUZ,XLB
SVM,XLB
SW,XLB
SWK,XLI
SWKS,XLK
SWX,XLU
SXI,XLI
SXT,XLB
SYF,XLF
SYK,XLV
SYM,XLI
SYNA,XLK
SYRE,XLV
SYY,XLI
T,XLC
TAK,XLV
TAL,XLI
TALO,XLE
TAP,XLP
TARS,XLV
TBBB,XLP
TCBI,XLF
TCOM,XLI
TD,XLF
TDC,XLK
TDG,XLI
TDOC,XLV
TDS,XLC
TDW,XLI
TDY,XLK
TEAM,XLK
TECH,XLV
TECK,XLB
TEL,XLI
TEM,XLK
TENB,XLK
TER,XLK
TEVA,XLV
TEX,XLI
TFC,XLF
TFII,XLI
TFX,XLV
TGB,XLB
TGT,XLY
TGTX,XLV
THC,XLV
THG,XLF
THO,XLY
TIGO,XLC
TJX,XLY
TKO,XLY
TKR,XLI
TLN,XLU
TM,XLY
TMDX,XLV
TME,XLC
TMO,XLK
TMUS,XLC
TNDM,XLV
TNGX,XLV
TNK,XLI
TNL,XLY
TOL,XLI
TOST,XLK
TPB,XLP
TPC,XLI
TPG,XLF
TPL,XLF
TPR,XLB
TREX,XLI
TRGP,XLU
TRI,XLC
TRIP,XLK
TRMB,XLK
TRNO,XLRE
TROW,XLF
TRP,XLU
TRU,XLI
TRV,XLF
TRVI,XLV
TS,XLB
