n_train,n_calib,n_test,accuracy,roc_auc,log_loss,brier,pos_rate,buy_hit_50,buy_n_50,buy_hit_55,buy_n_55,buy_hit_60,buy_n_60,ticker,horizon,fold,train_end_idx,test_start_idx
503,126,63,0.5397,0.5328,0.6969,0.2517,0.4921,0.5333,30,1.0,1,1.0,1,ASAN,1,2,629,630
553,139,63,0.5079,0.4787,1.1912,0.283,0.4603,0.4667,30,0.4667,30,0.5,6,ASAN,1,3,692,693
604,151,63,0.4921,0.4263,1.67,0.3018,0.4762,0.4444,18,0.4,5,0.4,5,ASAN,1,4,755,756
654,164,63,0.4286,0.4874,0.705,0.2559,0.4762,0.4375,48,,0,,0,ASAN,1,5,818,819
704,177,63,0.5397,0.5735,0.6904,0.2486,0.4444,0.4872,39,0.5,8,0.5,8,ASAN,1,6,881,882
755,189,63,0.4286,0.3891,0.9208,0.2578,0.5079,0.25,8,0.6667,3,0.6667,3,ASAN,1,7,944,945
805,202,63,0.5873,0.6015,1.5703,0.2688,0.4444,0.75,4,1.0,1,1.0,1,ASAN,1,8,1007,1008
856,214,63,0.5079,0.4611,0.6894,0.2483,0.5238,0.625,8,0.7143,7,0.7143,7,ASAN,1,9,1070,1071
906,227,63,0.4603,0.44,1.6492,0.2939,0.4921,0.2,5,0.3333,3,0.3333,3,ASAN,1,10,1133,1134
956,240,63,0.4444,0.4061,0.7096,0.2582,0.4762,0.2727,11,0.3333,3,0.3333,3,ASAN,1,11,1196,1197
1007,252,63,0.4603,0.4311,0.6926,0.2497,0.4286,0.2941,17,,0,,0,ASAN,1,12,1259,1260
1057,265,63,0.5397,0.5046,0.6906,0.2488,0.4603,0.5,2,,0,,0,ASAN,1,13,1322,1323
402,101,63,0.3968,0.3808,0.781,0.289,0.4603,0.3714,35,0.3333,12,0.3636,11,ASTS,1,0,503,504
