,close,volume,return_1d,return_3d,return_5d,ma_5,ma_10,ma_20,volatility_5d,volatility_10d,rsi_14,macd,macd_signal,bollinger_upper,bollinger_lower,bollinger_width,volume_zscore,volume_spike,sentiment_score,is_pandemic,insider_net_shares,insider_7d,insider_21d
BSX_target_3d,0.045102663,0.03998173,0.034383673,0.047475584,0.050308283,0.046648573,0.050129596,0.055942997,0.047452748,0.040653653,0.04546003,0.047499586,0.057056364,0.0720386,0.056518752,0.048118442,0.035176553,0.0,0.0,0.048182726,0.035825323,0.044814743,0.051229373
BSX_target_5d,0.048107617,0.03023496,0.024927245,0.036897518,0.04204476,0.05725289,0.053630676,0.0696081,0.036561225,0.053507406,0.050318606,0.05758084,0.05608958,0.07850708,0.066423476,0.054596126,0.030510297,0.0,0.0,0.04746672,0.032582518,0.017300995,0.0558514
CNC_target_1d,0.055431005,0.047853526,0.04990944,0.044900175,0.05283872,0.04744056,0.0405359,0.04560957,0.05199865,0.046273805,0.045970224,0.049838953,0.045244988,0.0522963,0.041711915,0.041919466,0.044726778,0.0,0.0,0.02675668,0.04539615,0.06926083,0.054086324
CNC_target_3d,0.038414754,0.033928953,0.04025122,0.030421078,0.04104865,0.06149095,0.04108446,0.048463557,0.030976249,0.047284268,0.04163229,0.045088053,0.049291056,0.07121917,0.06451551,0.044857416,0.03160001,0.0,0.0,0.05240041,0.08786164,0.032835696,0.06533472
CNC_target_5d,0.051287282,0.030953167,0.028108878,0.03967808,0.051837422,0.05652415,0.054398105,0.06724025,0.046298068,0.052100882,0.04475296,0.049633145,0.057017304,0.07622745,0.068272814,0.04986927,0.04329383,0.0,0.0,0.03444768,0.033916973,0.025797106,0.038345233
CRWD_target_1d,0.0579512,0.049970124,0.04462108,0.045248773,0.04621745,0.0528044,0.04699724,0.0627833,0.046839036,0.04221466,0.043469716,0.052013516,0.04927776,0.039145384,0.055118296,0.049518935,0.046985634,0.0,0.0,0.0,0.040310573,0.071664676,0.05684816
CRWD_target_3d,0.043074727,0.036126938,0.041674152,0.03201261,0.039775833,0.05131766,0.055324294,0.04258721,0.04681571,0.044237584,0.041644216,0.056839723,0.04462241,0.05807955,0.06167274,0.039562363,0.039770063,0.0,0.0,0.112161726,0.039815243,0.026531313,0.046353944
CRWD_target_5d,0.041403744,0.024130855,0.021362826,0.027005726,0.037745696,0.042173173,0.05000192,0.07290927,0.040221542,0.037171517,0.034445517,0.04702007,0.037302993,0.049992185,0.0460716,0.03925125,0.028580975,0.0,0.0,0.21048549,0.020087093,0.0404642,0.05217229
DDOG_target_1d,0.048776336,0.045218248,0.05281853,0.050930414,0.039654694,0.048695948,0.04547466,0.042181198,0.047101565,0.047552966,0.043815263,0.049317054,0.047797337,0.053464856,0.053774994,0.05001127,0.04256984,0.0,0.0,0.021431658,0.05892781,0.054142382,0.056343004
DDOG_target_3d,0.056136403,0.037960622,0.041420374,0.037955415,0.050511695,0.048217427,0.07232011,0.049917724,0.045100402,0.056959774,0.036941048,0.0397804,0.04198675,0.05934162,0.06751553,0.051247828,0.039075106,0.0,0.0,0.014707671,0.051684875,0.05398687,0.047232307
