ticker,horizon,n_obs,win_rate,avg_return_per_bar,annualized_return,annualized_vol,sharpe,turnover,fitness,gross_annualized_return
FTNT,3,42,0.71875,0.018645073762042212,1.5661861960115457,0.4745443220444749,3.3004002434671653,0.24390243902439024,8.363349281965684,1.5881861960115462
DNA,1,53,0.6176470588235294,0.008658081923003479,2.181836644596877,0.7948193068729232,2.74507252872471,0.25,8.109516001349064,2.2436479653515935
ASAN,1,53,0.5666666666666667,0.007286782095926545,1.8362690881734893,0.668496895509392,2.746862551656668,0.21153846153846154,8.093016382365347,1.8885709749659423
MP,1,60,0.6206896551724138,0.005441558326769587,1.371272698345936,0.4674401409000789,2.933579250822326,0.1864406779661017,7.955901601779527,1.417472698345936
HY,3,42,0.7,0.016565583094109295,1.3915089799051807,0.3462675507344429,4.018594803220089,0.36585365853658536,7.837246810587505,1.4215089799051808
PL,3,42,0.8,0.021586994179048028,1.8133075110400343,0.6080615303406696,2.982111876119049,0.2682926829268293,7.752740514758629,1.8353075110400345
DUOL,3,42,0.7241379310344828,0.013689803375760303,1.1499434835638656,0.34287194256042497,3.353857055134247,0.21951219512195122,7.6763270662140854,1.1679434835638658
CNC,1,60,0.6341463414634146,0.006908264604879473,1.7408826804296271,0.5282255759090235,3.295718268532798,0.3220338983050847,7.662739064706627,1.824882680429627
NVDA,3,42,0.6875,0.012562847721681711,1.0552792086212637,0.37203669949140294,2.8364922333304623,0.14634146341463414,7.616958558518703,1.0692792086212635
ETSY,1,53,0.5675675675675675,0.005144242001234109,1.2963489843109957,0.45445582992798744,2.8525302107278803,0.21153846153846154,7.061493241280139,1.3486508711034484
S,5,40,0.8888888888888888,0.017448438683836325,0.8794013096653507,0.3002463115829286,2.9289329318620405,0.15384615384615385,7.002605482498766,0.8869613096653511
S,1,53,0.7692307692307693,0.005401503070580345,1.3611787737862469,0.36703416292045365,3.708588767202173,0.38461538461538464,6.976746394133518,1.4562731134088882
MSFT,5,40,0.6666666666666666,0.01670465131664086,0.8419144263586993,0.2851926725475791,2.9520899637358022,0.15384615384615385,6.9058993155585355,0.8507344263586992
QUBT,1,53,0.6666666666666666,0.004937298841530652,1.2441993080657243,0.44163799731867653,2.8172379089200894,0.21153846153846154,6.83240859949636,1.2965011948581773
MSFT,3,42,0.6333333333333333,0.009086846730784044,0.7632951253858596,0.2781428795852537,2.744255493881524,0.0975609756097561,6.781344073043381,0.7732951253858596
PUBM,1,53,0.7142857142857143,0.004307630967425474,1.0855230037912194,0.39758476037216944,2.730293290857244,0.19230769230769232,6.486799720443648,1.1330701736025401
IREN,1,53,0.6,0.005292965406857283,1.3338272825280353,0.45827830799924385,2.910518039466612,0.2692307692307692,6.4782506540914975,1.4003933202638845
FIVN,5,40,0.7142857142857143,0.025737837831743583,1.2971870267198766,0.4336678029136566,2.991199757059546,0.28205128205128205,6.414793435626791,1.3110470267198764
TEAM,5,40,0.5357142857142857,0.03081460436443298,1.5530560599674221,0.7203107575615516,2.156091719669633,0.1794871794871795,6.342260578081015,1.561876059967422
APLD,1,53,0.5384615384615384,0.007423860577446139,1.870812865516427,0.697325672436682,2.6828395102380216,0.34615384615384615,6.2369934330830885,1.9563977711768041
DDOG,1,60,0.6666666666666666,0.003896791839552946,0.9819915435673424,0.3278568397475738,2.9951839477358635,0.23728813559322035,6.093114810166758,1.0407915435673423
DDOG,3,42,0.75,0.012486174955279882,1.0488386962435101,0.36184431527143623,2.8985910569210613,0.24390243902439024,6.010813142248041,1.0688386962435101
ROKU,1,53,0.6571428571428571,0.005464484584904497,1.3770501153959331,0.373478927678465,3.687089185876268,0.5192307692307693,6.004520134703204,1.5054274738864992
ADSK,3,42,0.5806451612903226,0.008353059224143667,0.701656974828068,0.27759986483187504,2.5275839930722515,0.12195121951219512,5.98843049405392,0.711656974828068
ALK,3,42,0.5172413793103449,0.013080857295727192,1.0987920128410842,0.4741018819734705,2.317628456287313,0.17073170731707318,5.879555169948603,1.1127920128410842
AMPX,3,42,0.6,0.018623949479583447,1.5644117562850095,0.7670999532464209,2.0393845021946735,0.1951219512195122,5.774595724896676,1.5824117562850095
AMZN,1,53,0.6,0.0031066405733153795,0.7828734244754756,0.21871059403665,3.5794947561812536,0.3076923076923077,5.709646048558957,0.8589488961735888
PUBM,3,42,0.6538461538461539,0.010132435391519652,0.8511245728876508,0.35994337967437007,2.364606826933829,0.14634146341463414,5.702585519012124,0.8631245728876508
BA,3,42,0.6153846153846154,0.008762168400982172,0.7360221456825025,0.24111775226168697,3.0525423316143554,0.21951219512195122,5.589562412601457,0.7560221456825025
FIVN,3,42,0.7307692307692307,0.021097688092112443,1.7722057997374452,0.698009731832811,2.5389413913815293,0.36585365853658536,5.587995547138104,1.8022057997374452
SNOW,1,60,0.5217391304347826,0.00833085005990202,2.099374215095309,0.9402586092253108,2.2327625554261146,0.3389830508474576,5.556463650352592,2.187574215095309
BRKR,1,53,0.5172413793103449,0.005027081100823856,1.2668244374076119,0.41816661277795253,3.029472939008401,0.40384615384615385,5.365587951946336,1.3666734940113854
NOK,5,40,0.6,0.02342085036835028,1.180410858564854,0.530196987056373,2.226362818692041,0.20512820512820512,5.340720477079888,1.1917508585648542
QURE,1,53,0.52,0.005662660200375158,1.42699037049454,0.6668682774685258,2.13983843392804,0.23076923076923078,5.321113881256682,1.4840469742681248
XYZ,3,40,0.5909090909090909,0.010987542553696522,0.9229535745105079,0.3476514112014411,2.654824760586739,0.23076923076923078,5.309294751423995,0.9418535745105078
ALK,5,40,0.5625,0.02030693519484847,1.0234695338203628,0.5517548340802265,1.8549353274384683,0.1282051282051282,5.240992442857486,1.0297695338203627
ETSY,3,42,0.65,0.011486885354295902,0.9648983697608557,0.41022805932994777,2.3521023192243047,0.1951219512195122,5.23050873035313,0.9808983697608558
BRKR,5,40,0.7083333333333334,0.024417420110676748,1.2306379735781081,0.5830327468355124,2.1107527497512946,0.20512820512820512,5.169991507348573,1.240717973578108
PL,5,40,0.6111111111111112,0.02202684170096822,1.1101528217287981,0.5801668054365031,1.9135062732407564,0.15384615384615385,5.140175558742176,1.1189728217287982
AI,3,42,0.7,0.014989006939903413,1.2590765829518866,0.49169759269887453,2.56067266069161,0.3170731707317073,5.102704164209459,1.2850765829518869
ONTO,1,53,0.6666666666666666,0.003679371218047595,0.927201546947994,0.36677405822313164,2.5279910783219,0.23076923076923078,5.067265496279228,0.984258150721579
NVMI,5,40,0.68,0.014963545982369219,0.7541627175114086,0.37040625167965086,2.036042086470109,0.10256410256410256,5.001085436626758,0.7592027175114087
FTNT,5,40,0.8421052631578947,0.014170658042783474,0.7142011653562871,0.2527281968387229,2.825965500842198,0.23076923076923078,4.971508448138587,0.726801165356287
BA,5,40,0.6956521739130435,0.01374826552390358,0.6929125824047404,0.2301993683663277,3.010054229610544,0.2564102564102564,4.948184075878849,0.7067725824047406
DDOG,5,40,0.875,0.023990129884397228,1.2091025461736202,0.5613744305541115,2.1538254690014305,0.23076923076923078,4.930070444537267,1.2217025461736202
ETSY,5,40,0.7368421052631579,0.020890878189754387,1.052900260763621,0.44625933101773746,2.3593910257571094,0.2564102564102564,4.7810781580426,1.066760260763621
NET,3,42,0.7241379310344828,0.015944243773675325,1.3393164769887274,0.6672410645844997,2.007245279219645,0.24390243902439024,4.703638965321755,1.3613164769887276
SLV,5,40,0.4827586206896552,0.014515301362459659,0.7315711886679668,0.384104702568919,1.9046139861739984,0.10256410256410256,4.607658243353912,0.7378711886679667
UAL,1,53,0.5384615384615384,0.003336468455610251,0.8407900508137832,0.31874689022763436,2.637798443188982,0.28846153846153844,4.503409419627948,0.9121108055307644
TGT,3,42,0.65,0.007117521853370996,0.5978718356831637,0.19873024075905932,3.008459273231717,0.2682926829268293,4.491007393984962,0.6198718356831637
SLV,3,42,0.5882352941176471,0.007904328837378467,0.6639636223397912,0.34367344994918275,1.9319607681011384,0.07317073170731707,4.452618017555926,0.6719636223397912
XLI,5,40,0.59375,0.007209680240668766,0.3633678841297058,0.14131609196292116,2.571312856748452,0.07692307692307693,4.384026643238262,0.3684078841297058
QS,1,53,0.5454545454545454,0.002049091667827195,0.5163711002924531,0.2199052587533907,2.3481525781588033,0.15384615384615385,4.301936102657299,0.5544088361415097
XYZ,1,51,0.5161290322580645,0.0036185317171397195,0.9118699927192093,0.3435282964707227,2.6544246924850445,0.36,4.224600251037993,1.0057523456603858
QS,5,40,0.6428571428571429,0.0171048856941939,0.8620862389873726,0.35271120774541204,2.4441702448242837,0.3076923076923077,4.091179076542282,0.8772062389873725
NOK,3,42,0.6,0.00810161609119318,0.6805357516602272,0.36427736253840065,1.868180188079867,0.14634146341463414,4.028659272396781,0.6925357516602271
XYZ,5,38,0.6956521739130435,0.01604797172292703,0.8088177748355222,0.33444546652160845,2.418384627089166,0.2972972972972973,3.988919173540649,0.8234072485197328
ASAN,5,40,0.75,0.020734140547392376,1.0450006835885757,0.5588192751495445,1.8700154594862983,0.23076923076923078,3.979371937191682,1.0563406835885758
HY,5,40,0.6521739130434783,0.016196397997486813,0.8162984590733353,0.32374463543162024,2.52142698205651,0.358974358974359,3.802236879800937,0.8351984590733353
AAPL,1,60,0.5476190476190477,0.0021045400175906718,0.5303440844328493,0.191586235321741,2.76817425605871,0.288135593220339,3.7555524787696406,0.6059440844328492
NET,1,53,0.6296296296296297,0.0051028389069351105,1.2859154045476477,0.6852315845581598,1.8766143206560033,0.3269230769230769,3.7218463216512325,1.366745593226893
V,5,40,0.64,0.009014595359766819,0.45433560613224766,0.17158883702141808,2.6478156389365615,0.23076923076923078,3.7152426062734762,0.4669356061322476
ALK,1,53,0.5172413793103449,0.003365840382502661,0.8481917763906707,0.4617045658432306,1.8370876944688257,0.23076923076923078,3.52198875994202,0.9052483801642552
LLY,5,40,0.6153846153846154,0.012580409920284159,0.6340526599823216,0.34521896681373515,1.836668088762424,0.1794871794871795,3.452046429887001,0.6441326599823215
PUBM,5,40,0.6666666666666666,0.010780209687787819,0.5433225682645061,0.30320965072638495,1.7919039415892404,0.15384615384615385,3.3674431729492653,0.5508825682645061
TSLA,3,42,0.625,0.009284089934816508,0.7798635545245867,0.35693776113301734,2.184872656927886,0.34146341463414637,3.30189571446507,0.8098635545245867
DNA,5,40,0.6,0.018678884192251916,0.9414157632894965,0.5548100296085634,1.6968254232060225,0.2564102564102564,3.251323619391447,0.9552757632894966
APLD,5,40,1.0,0.01217023955253128,0.6133800734475765,0.3279467266541624,1.8703649818539552,0.20512820512820512,3.234286621851317,0.6234600734475766
ASAN,3,42,0.5135135135135135,0.011448260611851604,0.9616538913955347,0.7213262167968463,1.3331747398089846,0.17073170731707318,3.1640211751395175,0.9756538913955348
IREN,3,42,0.6086956521739131,0.012569537326289721,1.0558411354083366,0.7129801938429403,1.4808842440873242,0.24390243902439024,3.081146368953075,1.0778411354083366
WMT,5,40,0.5769230769230769,0.005313835982060123,0.2678173334958302,0.12841839752363737,2.0855059606746322,0.07692307692307693,3.0526412592090164,0.2728573334958302
MSFT,1,60,0.4878048780487805,0.002207408633619183,0.5562669756720341,0.24393220158680962,2.280416329018668,0.3220338983050847,2.9971258971023107,0.6402669756720343
NVO,1,60,0.5,0.002475116199365904,0.6237292822402077,0.28294811154637706,2.204394575497898,0.3389830508474576,2.990187408246894,0.7077292822402078
AMZN,3,42,0.7272727272727273,0.004929047666383266,0.41404000397619434,0.1767520346384645,2.3424907375074233,0.2682926829268293,2.9100109295583145,0.43804000397619436
