month,close,vintage_date
1993-05,450.19000244140625,1993-05-29
1993-06,450.5299987792969,1993-07-01
1993-07,448.1300048828125,1993-07-31
1993-08,463.55999755859375,1993-09-01
1993-09,458.92999267578125,1993-10-01
1993-10,467.8299865722656,1993-10-30
1993-11,461.7900085449219,1993-12-01
1993-12,466.45001220703125,1994-01-01
1994-01,481.6099853515625,1994-02-01
1994-02,467.1400146484375,1994-03-01
1994-03,445.7699890136719,1994-04-01
1994-04,450.9100036621094,1994-04-30
1994-05,456.5,1994-06-01
1994-06,444.2699890136719,1994-07-01
1994-07,458.260009765625,1994-07-30
1994-08,475.489990234375,1994-09-01
1994-09,462.7099914550781,1994-10-01
1994-10,472.3500061035156,1994-11-01
1994-11,453.69000244140625,1994-12-01
1994-12,459.2699890136719,1994-12-31
1995-01,470.4200134277344,1995-02-01
1995-02,487.3900146484375,1995-03-01
1995-03,500.7099914550781,1995-04-01
1995-04,514.7100219726562,1995-04-29
1995-05,533.4000244140625,1995-06-01
1995-06,544.75,1995-07-01
1995-07,562.0599975585938,1995-08-01
1995-08,561.8800048828125,1995-09-01
1995-09,584.4099731445312,1995-09-30
1995-10,581.5,1995-11-01
1995-11,605.3699951171875,1995-12-01
1995-12,615.9299926757812,1995-12-30
1996-01,636.02001953125,1996-02-01
1996-02,640.4299926757812,1996-03-01
1996-03,645.5,1996-03-30
1996-04,654.1699829101562,1996-05-01
1996-05,669.1199951171875,1996-06-01
1996-06,670.6300048828125,1996-06-29
1996-07,639.9500122070312,1996-08-01
1996-08,651.989990234375,1996-08-31
1996-09,687.3300170898438,1996-10-01
1996-10,705.27001953125,1996-11-01
1996-11,757.02001953125,1996-11-30
1996-12,740.739990234375,1997-01-01
1997-01,786.1599731445312,1997-02-01
1997-02,790.8200073242188,1997-03-01
1997-03,757.1199951171875,1997-04-01
1997-04,801.3400268554688,1997-05-01
1997-05,848.280029296875,1997-05-31
1997-06,885.1400146484375,1997-07-01
1997-07,954.3099975585938,1997-08-01
1997-08,899.469970703125,1997-08-30
1997-09,947.280029296875,1997-10-01
1997-10,914.6199951171875,1997-11-01
1997-11,955.4000244140625,1997-11-29
1997-12,970.4299926757812,1998-01-01
1998-01,980.280029296875,1998-01-31
1998-02,1049.3399658203125,1998-02-28
1998-03,1101.75,1998-04-01
1998-04,1111.75,1998-05-01
1998-05,1090.8199462890625,1998-05-30
1998-06,1133.8399658203125,1998-07-01
1998-07,1120.6700439453125,1998-08-01
1998-08,957.280029296875,1998-09-01
1998-09,1017.010009765625,1998-10-01
1998-10,1098.6700439453125,1998-10-31
1998-11,1163.6300048828125,1998-12-01
1998-12,1229.22998046875,1999-01-01
1999-01,1279.6400146484375,1999-01-30
1999-02,1238.3299560546875,1999-02-27
1999-03,1286.3699951171875,1999-04-01
