feature,n_dates,mean_IC,std_IC,IC_IR,t_stat,base,DSR,pass_HLZ,pass_EVT,pass_MAG,is_base_rep,SURVIVOR,ts_mean_IC,ts_std_IC,ts_IC_IR,ts_n_tickers,ts_pass,cs_ts_divergence
intraday_momentum__ts_delta__w20,560.0,0.004722844252620734,0.15274897355655878,0.030918991746101607,0.7316768879317425,intraday_momentum,0.04756936787640831,False,False,False,False,False,,,,,False,False
volume_zscore__ts_delta__w5,575.0,-0.0031996190365966314,0.10557297687538462,-0.030307178326262143,-0.72674060599874,volume_zscore,0.04707732195558131,False,False,False,False,False,,,,,False,False
vwap__ts_min__w5,579.0,0.004686096208100735,0.15569823177031084,0.030097298824907394,0.7242138100076468,vwap,0.04682826227642255,False,False,False,False,False,,,,,False,False
return_3d__ts_argmax__w20,579.0,0.003787491478091199,0.12620883502617009,0.030009717444153906,0.7221063901421564,return_3d,0.04662238401393121,False,False,False,False,False,,,,,False,False
vwap__ts_max__w20,579.0,0.0046490029439661025,0.1549283255402645,0.030007443298403606,0.7220516686946298,vwap,0.046617047852440176,False,False,False,False,False,,,,,False,False
eightk_filings_30d__ts_decay_linear__w10,571.0,-0.0027867891282414813,0.09236477356834391,-0.030171558058110098,-0.7209676725335067,eightk_filings_30d,0.04651393841039895,False,False,False,False,False,,,,,False,False
vwap__ts_decay_linear__w5,576.0,0.004668874586276352,0.15597942215101496,0.029932631637499447,0.7183831592999868,vwap,0.04626135333461421,False,False,False,False,False,,,,,False,False
vwap_dev_eod__ts_delta__w10,570.0,-0.005345270193336546,0.17789470439314642,-0.030047382307252523,-0.7173714202596654,vwap_dev_eod,0.046165259815164186,False,False,False,False,False,,,,,False,False
intraday_momentum__ts_rank__w20,571.0,-0.0038102988692564465,0.12693401507217353,-0.030017949618074753,-0.7172971057274939,intraday_momentum,0.046157755319036146,False,False,False,False,False,,,,,False,False
intraday_momentum__ts_delta__w5,575.0,-0.004079885234683864,0.13665129446114868,-0.02985617699980014,-0.7159259741062284,intraday_momentum,0.04602402136119499,False,False,False,False,False,,,,,False,False
