n_train,n_calib,n_test,accuracy,roc_auc,log_loss,brier,pos_rate,buy_hit_50,buy_n_50,buy_hit_55,buy_n_55,buy_hit_60,buy_n_60,ticker,horizon,fold,train_end_idx,test_start_idx
703,176,63,0.4127,0.5166,0.6963,0.2516,0.619,0.75,4,0.5,2,,0,BRKR,3,6,879,882
753,189,63,0.4286,0.4672,0.9905,0.2835,0.4921,0.2727,11,0.2727,11,0.2,5,BRKR,3,7,942,945
804,201,63,0.619,0.4103,0.6824,0.2446,0.619,0.619,63,0.5714,56,,0,BRKR,3,8,1005,1008
400,101,63,0.6032,0.6174,0.6502,0.2294,0.6032,0.6032,63,0.6757,37,0.8,10,BSX,3,0,501,504
451,113,63,0.5397,0.5882,1.2214,0.2811,0.5397,0.5397,63,0.6087,23,0.6087,23,BSX,3,1,564,567
501,126,63,0.4603,0.4975,0.7355,0.2705,0.7143,0.72,25,0.72,25,0.7368,19,BSX,3,2,627,630
552,138,63,0.7143,0.4321,0.6253,0.218,0.7143,0.7143,63,0.7143,63,0.6842,38,BSX,3,3,690,693
602,151,63,0.5714,0.5216,0.92,0.2551,0.5714,0.5714,63,0.5714,63,0.5714,63,BSX,3,4,753,756
652,164,63,0.4762,0.5455,0.956,0.2768,0.4762,0.4762,63,0.4762,63,0.4762,63,BSX,3,5,816,819
703,176,63,0.4603,0.4503,4.0109,0.3915,0.4603,0.4603,63,0.4603,63,0.4667,45,BSX,3,6,879,882
753,189,63,0.3968,0.5,0.6954,0.2511,0.3968,0.3968,63,,0,,0,BSX,3,7,942,945
804,201,63,0.5397,0.6851,0.6781,0.2426,0.3492,0.4314,51,0.6667,6,0.6667,6,BSX,3,8,1005,1008
400,101,63,0.5397,0.6026,1.8963,0.3105,0.3333,0.3889,36,0.3889,36,0.3889,36,CAVA,3,0,501,504
451,113,63,0.4762,0.5798,1.3875,0.2742,0.5238,0.5,6,0.5,6,0.5,6,CAVA,3,1,564,567
501,126,63,0.6825,0.7216,0.6562,0.2318,0.6032,0.7045,44,0.9,20,0.7143,7,CAVA,3,2,627,630
400,101,63,0.381,0.5,0.7175,0.2622,0.619,,0,,0,,0,CI,3,0,501,504
451,113,63,0.4603,0.4485,0.729,0.2677,0.4762,0.4667,60,0.4483,58,,0,CI,3,1,564,567
501,126,63,0.4921,0.3478,3.8178,0.3994,0.4921,0.4921,63,0.3636,33,0.3636,33,CI,3,2,627,630
552,138,63,0.4603,0.4677,0.6945,0.2507,0.5079,0.0,2,,0,,0,CI,3,3,690,693
602,151,63,0.6349,0.5,0.6845,0.2457,0.6349,0.6349,63,,0,,0,CI,3,4,753,756
652,164,63,0.5397,0.4779,0.7006,0.2536,0.4286,0.3333,6,0.2,5,0.0,3,CI,3,5,816,819
703,176,63,0.3492,0.3513,0.7208,0.2638,0.5079,0.2,15,0.1667,6,,0,CI,3,6,879,882
753,189,63,0.4762,0.5015,0.7118,0.2584,0.5556,0.5714,14,0.5714,14,0.5714,14,CI,3,7,942,945
804,201,63,0.4921,0.4838,0.7129,0.2594,0.4762,0.4375,16,0.4667,15,0.4667,15,CI,3,8,1005,1008
400,101,63,0.619,0.4407,0.6765,0.24,0.619,0.619,63,0.619,63,0.5217,23,CNC,3,0,501,504
451,113,63,0.4444,0.5204,1.668,0.3038,0.4444,0.4386,57,0.4386,57,0.5455,11,CNC,3,1,564,567
501,126,63,0.5238,0.5429,0.6991,0.2553,0.5238,0.5789,19,0.5789,19,0.5714,14,CNC,3,2,627,630
552,138,63,0.4286,0.5411,2.3994,0.3364,0.4603,0.4255,47,0.4651,43,0.4651,43,CNC,3,3,690,693
602,151,63,0.4444,0.481,2.0916,0.3025,0.5714,0.5294,17,0.5,16,0.5,16,CNC,3,4,753,756
652,164,63,0.5079,0.5965,0.6991,0.2536,0.2381,0.2647,34,0.5714,7,0.5714,7,CNC,3,5,816,819
703,176,63,0.4286,0.4856,0.9487,0.2701,0.619,0.7143,7,0.5,2,0.5,2,CNC,3,6,879,882
753,189,63,0.5079,0.5202,0.7196,0.2607,0.5238,0.6,10,0.6,10,0.6,10,CNC,3,7,942,945
804,201,63,0.3333,0.4269,0.7787,0.2907,0.6667,0.5,14,0.5,14,0.5,14,CNC,3,8,1005,1008
400,101,63,0.6508,0.5421,0.6435,0.2255,0.6508,0.6727,55,0.6727,55,0.6727,55,COST,3,0,501,504
451,113,63,0.5714,0.5462,1.1561,0.2638,0.6349,0.6226,53,0.6531,49,0.6458,48,COST,3,1,564,567
501,126,63,0.5556,0.5173,0.7296,0.2645,0.5556,0.5556,63,0.5556,63,0.5806,31,COST,3,2,627,630
552,138,63,0.5873,0.5022,1.0851,0.2398,0.6349,0.6207,58,0.6316,57,0.6316,57,COST,3,3,690,693
602,151,63,0.381,0.3862,0.7655,0.28,0.5556,0.4091,22,0.4091,22,0.3889,18,COST,3,4,753,756
652,164,63,0.3968,0.66,2.3824,0.34,0.3968,0.3968,63,0.3968,63,0.5161,31,COST,3,5,816,819
703,176,63,0.4127,0.7095,0.7565,0.2809,0.3968,0.4032,62,0.4032,62,0.4423,52,COST,3,6,879,882
753,189,63,0.4603,0.4405,0.7062,0.2565,0.5079,0.4821,56,0.4909,55,,0,COST,3,7,942,945
804,201,63,0.4603,0.5221,0.9778,0.2817,0.5714,0.6,10,,0,,0,COST,3,8,1005,1008
400,101,63,0.4286,0.3848,0.7457,0.2757,0.4286,0.4286,63,0.4333,60,0.3243,37,CRM,3,0,501,504
451,113,63,0.4921,0.5,0.7005,0.2537,0.4921,0.4921,63,0.4921,63,,0,CRM,3,1,564,567
501,126,63,0.381,0.4357,0.7005,0.2537,0.6508,0.55,20,,0,,0,CRM,3,2,627,630
552,138,63,0.6032,0.5998,0.6586,0.2352,0.5079,0.566,53,0.566,53,,0,CRM,3,3,690,693
602,151,63,0.4286,0.4755,1.241,0.3026,0.4444,0.4355,62,0.4286,42,0.4286,42,CRM,3,4,753,756
652,164,63,0.4127,0.5738,1.3297,0.3411,0.4127,0.4127,63,0.4127,63,0.4127,63,CRM,3,5,816,819
703,176,63,0.5079,0.5171,4.3793,0.3734,0.5079,0.5079,63,0.5366,41,0.5366,41,CRM,3,6,879,882
753,189,63,0.381,0.3889,0.7447,0.2754,0.4603,0.3913,46,0.3947,38,1.0,1,CRM,3,7,942,945
804,201,63,0.5238,0.5247,0.7207,0.2625,0.5079,0.5333,30,0.5333,30,0.5333,30,CRM,3,8,1005,1008
