ticker,horizon,n_folds,accuracy_mean,accuracy_std,auc_mean,brier_mean,buy_hit_55_mean,buy_n_55_total,pos_rate_mean
KR,5,26,0.5385,0.0736,0.5589,0.2618,0.5904,490,0.5202
MKC,5,26,0.5244,0.1203,0.5416,0.2794,0.5699,710,0.511
APA,5,26,0.4853,0.116,0.5021,0.2702,0.5165,674,0.5293
BKR,5,18,0.4982,0.1128,0.4814,0.2631,0.5559,469,0.5556
CVX,5,26,0.511,0.1083,0.5019,0.2955,0.5624,699,0.5415
COP,5,26,0.5183,0.0929,0.5257,0.2667,0.5157,705,0.5299
DVN,5,26,0.4774,0.118,0.489,0.2778,0.5174,727,0.5385
FANG,5,26,0.5311,0.0993,0.5696,0.2612,0.6176,746,0.544
EOG,5,26,0.4994,0.1241,0.5137,0.2602,0.516,835,0.5305
EQT,5,26,0.5104,0.0989,0.5474,0.2686,0.5655,415,0.5214
XOM,5,26,0.5311,0.1105,0.5223,0.27,0.6079,596,0.5311
HAL,5,26,0.4725,0.1018,0.4736,0.2688,0.384,517,0.5232
KMI,5,26,0.4835,0.1055,0.5446,0.2785,0.5431,785,0.5403
MPC,5,26,0.5293,0.1124,0.5012,0.259,0.5313,786,0.5617
OXY,5,26,0.4933,0.1178,0.5034,0.28,0.4514,420,0.503
OKE,5,26,0.5372,0.1151,0.5388,0.2668,0.5393,886,0.5641
PSX,5,26,0.5269,0.101,0.498,0.2754,0.5292,978,0.5409
SLB,5,26,0.5006,0.1124,0.4995,0.2769,0.5082,224,0.5128
TRGP,5,26,0.5574,0.1222,0.5004,0.2675,0.5655,985,0.5928
TPL,5,26,0.4676,0.1428,0.5291,0.3028,0.5124,847,0.5299
VLO,5,26,0.4719,0.1163,0.5007,0.286,0.5688,640,0.5342
AES,5,26,0.5012,0.1131,0.4978,0.2761,0.5559,613,0.5085
LNT,5,26,0.4872,0.0864,0.52,0.2848,0.5523,611,0.5281
AEE,5,26,0.4994,0.0927,0.5176,0.2939,0.5576,776,0.5348
AEP,5,26,0.5214,0.0832,0.5218,0.2614,0.5776,717,0.5348
AWK,5,26,0.4884,0.0926,0.5225,0.2703,0.5698,678,0.5208
ATO,5,26,0.5183,0.0803,0.5649,0.2684,0.5739,919,0.5415
CNP,5,26,0.5244,0.0897,0.5519,0.2646,0.5717,605,0.5421
CMS,5,26,0.5391,0.1003,0.5478,0.2683,0.5578,671,0.5262
ED,5,26,0.5378,0.1093,0.5922,0.2548,0.6199,453,0.5128
DTE,5,26,0.5568,0.0963,0.5566,0.2615,0.6154,804,0.5269
DUK,5,26,0.5055,0.1049,0.532,0.267,0.5311,810,0.5311
EIX,5,26,0.5183,0.1121,0.5324,0.2726,0.5733,665,0.536
ETR,5,26,0.5067,0.1045,0.5351,0.2712,0.5685,848,0.5439
