n_train,n_calib,n_test,accuracy,roc_auc,log_loss,brier,pos_rate,buy_hit_50,buy_n_50,buy_hit_55,buy_n_55,buy_hit_60,buy_n_60,ticker,horizon,fold,train_end_idx,test_start_idx
399,100,63,0.6508,0.3769,0.7583,0.2734,0.6508,0.6508,63,0.575,40,0.575,40,COST,5,0,499,504
449,113,63,0.6667,0.5499,0.6313,0.2197,0.6667,0.6667,63,0.6774,62,0.6774,62,COST,5,1,562,567
500,125,63,0.7143,0.6723,2.4208,0.2604,0.6349,0.7619,42,0.7619,42,0.7619,42,COST,5,2,625,630
550,138,63,0.6667,0.4167,2.8871,0.2821,0.6667,0.6667,63,0.6667,63,0.6667,63,COST,5,3,688,693
600,151,63,0.5714,0.3904,0.7428,0.2721,0.5714,0.5714,63,0.4865,37,0.5357,28,COST,5,4,751,756
651,163,63,0.4603,0.4643,0.8052,0.2994,0.4444,0.4423,52,0.4651,43,0.3667,30,COST,5,5,814,819
701,176,63,0.3492,0.6857,1.5451,0.3292,0.3492,0.3492,63,0.3492,63,0.5417,24,COST,5,6,877,882
752,188,63,0.4127,0.4178,0.7035,0.2551,0.5397,0.4444,27,,0,,0,COST,5,7,940,945
802,201,63,0.4444,0.6077,0.7103,0.2584,0.5556,,0,,0,,0,COST,5,8,1003,1008
399,100,63,0.4603,0.4625,0.7451,0.2752,0.4603,0.4603,63,0.4603,63,0.4468,47,CRM,5,0,499,504
449,113,63,0.5079,0.5675,1.4104,0.2887,0.5079,0.5079,63,0.5079,63,0.5079,63,CRM,5,1,562,567
500,125,63,0.7143,0.4685,0.6249,0.2166,0.7143,0.7143,63,0.6923,52,0.7083,48,CRM,5,2,625,630
550,138,63,0.4762,0.6793,0.6962,0.2512,0.4762,0.4762,63,0.6047,43,0.6098,41,CRM,5,3,688,693
600,151,63,0.5079,0.5283,2.1715,0.3316,0.4286,0.4375,32,0.4375,32,0.4375,32,CRM,5,4,751,756
651,163,63,0.4921,0.5556,0.7097,0.2581,0.4127,0.4483,58,0.4074,27,0.5,4,CRM,5,5,814,819
701,176,63,0.5238,0.4506,0.9483,0.2709,0.5873,0.5745,47,0.5581,43,0.55,40,CRM,5,6,877,882
752,188,63,0.4603,0.4781,1.1891,0.2787,0.4444,0.2857,14,0.2857,14,0.2857,14,CRM,5,7,940,945
802,201,63,0.4762,0.6212,0.6901,0.2485,0.4762,0.4762,63,0.5882,34,0.5882,34,CRM,5,8,1003,1008
399,100,63,0.5079,0.4315,0.8209,0.3045,0.5079,0.5079,63,0.5079,63,0.5079,63,CRWD,5,0,499,504
449,113,63,0.4603,0.4954,1.9354,0.3248,0.4603,0.4603,63,0.4603,63,0.4603,63,CRWD,5,1,562,567
500,125,63,0.2857,0.4063,3.4489,0.4023,0.6508,0.25,8,,0,,0,CRWD,5,2,625,630
550,138,63,0.6984,0.5359,0.6563,0.2319,0.6984,0.6984,63,0.72,25,0.72,25,CRWD,5,3,688,693
600,151,63,0.4921,0.5786,0.7041,0.2586,0.5079,0.5,62,0.5,62,0.5,62,CRWD,5,4,751,756
651,163,63,0.5714,0.5788,0.6822,0.2445,0.5238,0.5833,36,0.6,35,,0,CRWD,5,5,814,819
701,176,63,0.3968,0.4065,0.7249,0.2656,0.619,0.5143,35,0.5143,35,,0,CRWD,5,6,877,882
752,188,63,0.3651,0.5334,3.33,0.443,0.3333,0.339,59,0.339,59,0.3514,37,CRWD,5,7,940,945
802,201,63,0.6508,0.5538,0.6496,0.2286,0.6508,0.6508,63,0.6508,63,0.8,10,CRWD,5,8,1003,1008
399,100,63,0.5397,0.5499,1.8191,0.2781,0.4921,0.5208,48,0.5333,30,,0,DDOG,5,0,499,504
449,113,63,0.4921,0.6245,6.0228,0.4464,0.4921,0.4921,63,0.4921,63,0.4921,63,DDOG,5,1,562,567
500,125,63,0.4762,0.5293,2.353,0.3207,0.5714,1.0,3,1.0,1,1.0,1,DDOG,5,2,625,630
550,138,63,0.5714,0.6086,0.6854,0.2461,0.4762,0.8,5,0.75,4,0.75,4,DDOG,5,3,688,693
600,151,63,0.4286,0.4571,1.915,0.3178,0.4762,0.4211,38,0.4815,27,0.4615,26,DDOG,5,4,751,756
651,163,63,0.5873,0.6878,0.9025,0.2186,0.6825,0.7576,33,0.7576,33,0.7576,33,DDOG,5,5,814,819
701,176,63,0.3175,0.3923,5.1265,0.5639,0.6984,0.6667,3,0.5,2,0.5,2,DDOG,5,6,877,882
752,188,63,0.2381,0.691,0.8036,0.304,0.2381,0.2381,63,0.3333,33,0.3333,33,DDOG,5,7,940,945
802,201,63,0.6032,0.6511,0.6526,0.2315,0.6349,0.7778,27,0.8571,7,0.8571,7,DDOG,5,8,1003,1008
399,100,63,0.6349,0.6201,0.6411,0.2254,0.3651,,0,,0,,0,DNA,5,0,499,504
449,113,63,0.5556,0.5615,5.9144,0.4694,0.2063,0.2414,29,0.2414,29,0.2414,29,DNA,5,1,562,567
500,125,63,0.5873,0.4868,0.6938,0.2496,0.3968,0.0,1,0.0,1,0.0,1,DNA,5,2,625,630
550,138,63,0.3333,0.5,0.8714,0.335,0.6667,,0,,0,,0,DNA,5,3,688,693
600,151,63,0.3651,0.5,0.7013,0.2541,0.3651,0.3651,63,,0,,0,DNA,5,4,751,756
651,163,63,0.5238,0.5461,0.6787,0.2449,0.5397,0.5588,34,0.56,25,0.56,25,DNA,5,5,814,819
701,176,63,0.6508,0.5502,0.6633,0.2353,0.381,1.0,2,1.0,2,1.0,2,DNA,5,6,877,882
752,188,63,0.3968,0.5726,0.7432,0.2746,0.6032,,0,,0,,0,DNA,5,7,940,945
